,mse,rmse,mae,yhat_mean,y_mean,RMSE_impr_%_vs_MSE,MAE_impr_%_vs_MSE
MSE-model,0.07338245958089828,0.2708919703145486,0.032291118055582047,0.3511728346347809,0.3792925179004669,0.0,0.0
WMSE-model,0.08704964816570282,0.2950417735943553,0.03523220121860504,0.3530040681362152,0.3792925179004669,-8.914920309995086,-9.108025178532028
MIX-model,0.07659562677145004,0.27675914939067514,0.03153848275542259,0.3538857698440552,0.3792925179004669,-2.16587411922626,2.3307811728310264
