,mse,rmse,mae,yhat_mean,y_mean,RMSE_impr_%_vs_MSE,MAE_impr_%_vs_MSE
MSE-model,0.05814395472407341,0.24113057608705166,0.02210351638495922,0.3728775978088379,0.39178839325904846,0.0,0.0
WMSE-model,0.07437066733837128,0.27270985926139757,0.02593688853085041,0.3695581257343292,0.39178839325904846,-13.09634127976137,-17.342815862213925
MIX-model,0.06660093367099762,0.25807156695575284,0.02407079190015793,0.37078356742858887,0.39178839325904846,-7.0256502279972075,-8.90028301763052
