index,snapshot_date,sigma
0,2024-12-30,
1,2024-12-31,0.17399999618530274
2,2025-01-02,0.17350000381469727
3,2025-01-03,0.1793000030517578
4,2025-01-06,0.161299991607666
5,2025-01-07,0.16040000915527344
6,2025-01-08,0.17819999694824218
7,2025-01-10,0.17700000762939452
8,2025-01-13,0.19540000915527345
9,2025-01-14,0.19190000534057616
10,2025-01-15,0.18709999084472656
11,2025-01-16,0.16120000839233398
12,2025-01-17,0.16600000381469726
13,2025-01-21,0.15970000267028808
14,2025-01-22,0.15060000419616698
15,2025-01-23,0.15100000381469728
16,2025-01-24,0.15020000457763671
17,2025-01-27,0.14850000381469727
18,2025-01-28,0.17899999618530274
19,2025-01-29,0.1640999984741211
20,2025-01-30,0.16559999465942382
21,2025-01-31,0.1584000015258789
22,2025-02-03,0.16430000305175782
23,2025-02-04,0.18620000839233397
24,2025-02-05,0.17209999084472657
25,2025-02-06,0.15770000457763672
26,2025-02-07,0.155
27,2025-02-10,0.16540000915527345
28,2025-02-11,0.158100004196167
29,2025-02-12,0.16020000457763672
30,2025-02-13,0.15890000343322755
31,2025-02-14,0.15100000381469728
32,2025-02-18,0.1477000045776367
33,2025-02-19,0.15350000381469728
34,2025-02-20,0.15270000457763672
35,2025-02-21,0.1565999984741211
36,2025-02-24,0.18209999084472656
37,2025-02-25,0.18979999542236328
38,2025-02-26,0.19430000305175782
39,2025-02-27,0.19100000381469726
40,2025-02-28,0.21129999160766602
41,2025-03-03,0.196299991607666
42,2025-03-04,0.22780000686645507
43,2025-03-05,0.23510000228881836
44,2025-03-06,0.2193000030517578
45,2025-03-07,0.24870000839233397
46,2025-03-10,0.23370000839233399
47,2025-03-11,0.27860000610351565
48,2025-03-12,0.26920000076293943
49,2025-03-13,0.24229999542236327
50,2025-03-14,0.2465999984741211
51,2025-03-17,0.21770000457763672
52,2025-03-18,0.20510000228881836
53,2025-03-19,0.21700000762939453
54,2025-03-20,0.19899999618530273
55,2025-03-21,0.19799999237060548
56,2025-03-24,0.19280000686645507
57,2025-03-25,0.17479999542236327
58,2025-03-26,0.17149999618530273
59,2025-03-27,0.18329999923706056
60,2025-03-28,0.18690000534057616
61,2025-03-31,0.21649999618530275
62,2025-04-01,0.22280000686645507
63,2025-04-02,0.21770000457763672
64,2025-04-03,0.21510000228881837
65,2025-04-04,0.30020000457763674
66,2025-04-07,0.45310001373291015
67,2025-04-08,0.4697999954223633
68,2025-04-09,0.5233000183105468
69,2025-04-10,0.33619998931884765
70,2025-04-11,0.4072000122070312
71,2025-04-14,0.37560001373291013
72,2025-04-15,0.30889999389648437
73,2025-04-16,0.30120000839233396
74,2025-04-17,0.3263999938964844
75,2025-04-21,0.29649999618530276
76,2025-04-22,0.3381999969482422
77,2025-04-23,0.3056999969482422
78,2025-04-24,0.28450000762939454
79,2025-04-25,0.2646999931335449
80,2025-04-28,0.2484000015258789
81,2025-04-29,0.2514999961853027
82,2025-04-30,0.24170000076293946
83,2025-05-01,0.24700000762939453
84,2025-05-02,0.24600000381469728
85,2025-05-05,0.22680000305175782
86,2025-05-06,0.23639999389648436
87,2025-05-07,0.24760000228881837
88,2025-05-08,0.23549999237060548
89,2025-05-09,0.22479999542236329
90,2025-05-12,0.21899999618530275
91,2025-05-13,0.18389999389648437
92,2025-05-14,0.18219999313354493
93,2025-05-15,0.18620000839233397
94,2025-05-16,0.17829999923706055
95,2025-05-19,0.17239999771118164
96,2025-05-20,0.18139999389648437
97,2025-05-21,0.1809000015258789
98,2025-05-22,0.208700008392334
99,2025-05-23,0.20280000686645508
100,2025-05-27,0.22290000915527344
101,2025-05-28,0.18959999084472656
102,2025-05-29,0.19309999465942382
103,2025-05-30,0.19180000305175782
104,2025-06-02,0.18569999694824219
105,2025-06-03,0.18360000610351562
106,2025-06-04,0.17690000534057618
107,2025-06-05,0.17610000610351562
108,2025-06-06,0.18479999542236328
109,2025-06-09,0.16770000457763673
110,2025-06-10,0.1715999984741211
111,2025-06-11,0.16950000762939454
112,2025-06-12,0.17260000228881836
113,2025-06-13,0.1802000045776367
114,2025-06-16,0.20819999694824218
115,2025-06-17,0.19110000610351563
116,2025-06-18,0.21600000381469728
117,2025-06-20,0.20139999389648439
118,2025-06-23,0.206200008392334
119,2025-06-24,0.19829999923706054
120,2025-06-25,0.17479999542236327
121,2025-06-26,0.16760000228881836
122,2025-06-27,0.16590000152587892
123,2025-06-30,0.1631999969482422
124,2025-07-01,0.1672999954223633
125,2025-07-02,0.16829999923706054
126,2025-07-03,0.16639999389648438
127,2025-07-07,0.163799991607666
128,2025-07-08,0.17790000915527343
129,2025-07-09,0.16809999465942382
130,2025-07-10,0.15939999580383302
131,2025-07-11,0.15779999732971192
132,2025-07-14,0.16399999618530273
133,2025-07-15,0.17200000762939452
134,2025-07-16,0.17379999160766602
135,2025-07-17,0.1715999984741211
136,2025-07-18,0.16520000457763673
137,2025-07-21,0.1640999984741211
138,2025-07-22,0.16649999618530273
139,2025-07-23,0.165
140,2025-07-24,0.15369999885559082
141,2025-07-25,0.15390000343322754
142,2025-07-28,0.1493000030517578
143,2025-07-29,0.15029999732971192
144,2025-07-30,0.15979999542236328
145,2025-07-31,0.15479999542236328
146,2025-08-01,0.16719999313354492
147,2025-08-04,0.20379999160766601
148,2025-08-05,0.1752000045776367
149,2025-08-06,0.17850000381469727
150,2025-08-07,0.16770000457763673
151,2025-08-08,0.1656999969482422
152,2025-08-11,0.15149999618530274
153,2025-08-12,0.1625
154,2025-08-13,0.14729999542236327
155,2025-08-14,0.14489999771118164
