lam,beta,val_loss_wmse,ATMxSHORT_rmse,ALL_rmse,ALL_mae,ATM_rmse(|logM|<0.05),ATM_mae(|logM|<0.05),ATMxSHORT_mae,val_n
0.08,20.0,4.226170403853757e-06,0.0015825023874640465,0.008881233632564545,0.004297064617276192,0.0017210171790793538,0.0013029290130361915,0.0011836165795102715,3581
0.08,10.0,4.283724592824001e-06,0.0016058797482401133,0.008693942800164223,0.004247983917593956,0.0017133803339675069,0.0014110553311184049,0.0013192315818741918,3581
0.08,15.0,4.374449872557307e-06,0.001633455278351903,0.009597714990377426,0.004598546773195267,0.001793872332200408,0.0014413013122975826,0.0013070510467514396,3581
0.08,25.0,4.328288468968822e-06,0.0016420683823525906,0.008131123147904873,0.004086378961801529,0.0017688890220597386,0.0013576420024037361,0.001259726588614285,3581
0.08,5.0,5.1739680202445015e-06,0.001674266648478806,0.009107468649744987,0.004622666165232658,0.0018230641726404428,0.001478406134992838,0.0013657037634402514,3581
0.05,25.0,3.9135743463702966e-06,0.0016799818258732557,0.008442976512014866,0.004803115036338568,0.0016673231730237603,0.0012462991289794445,0.0012343828566372395,3581
0.1,5.0,4.598113719112007e-06,0.0017173935193568468,0.007563188672065735,0.0036857277154922485,0.0017911999020725489,0.0014493890339508653,0.0013706246390938759,3581
0.05,15.0,4.05322725782753e-06,0.0017215256812050939,0.008829834870994091,0.004912836942821741,0.0017771271523088217,0.0013988013379275799,0.0013271287316456437,3581
0.05,20.0,4.608945346262772e-06,0.001802509999834001,0.009211371652781963,0.005162615794688463,0.0018188284011557698,0.0013944725506007671,0.0013649303000420332,3581
0.05,10.0,5.0331368584011216e-06,0.0018312905449420214,0.009984737262129784,0.005570373963564634,0.001812874572351575,0.0013631484471261501,0.0013563260436058044,3581
0.05,5.0,4.568092208501184e-06,0.0018400659319013357,0.010096144862473011,0.005571209359914064,0.0018517542630434036,0.0014293495332822204,0.0014000593218952417,3581
0.1,15.0,5.686794338544132e-06,0.0018631754210218787,0.0071428436785936356,0.003661656752228737,0.0018803559942170978,0.0014917420921847224,0.001462372369132936,3581
0.1,20.0,5.356122983357636e-06,0.001867140643298626,0.007899121381342411,0.0039829895831644535,0.0019389886874705553,0.0015561269829049706,0.0014898388180881739,3581
0.12,25.0,5.477128070197068e-06,0.0018807391170412302,0.005574405658990145,0.00316167832352221,0.0018963959300890565,0.0015602635685354471,0.0015407343162223697,3581
0.1,10.0,5.5593595789105166e-06,0.0019455946749076247,0.007233121898025274,0.003622212214395404,0.0019677835516631603,0.0015467070043087006,0.0014953057980164886,3581
0.12,10.0,5.232957391854143e-06,0.0019494459265843034,0.006541803944855928,0.003353471402078867,0.0020387463737279177,0.0016805371269583702,0.001597331720404327,3581
0.12,20.0,5.298355063132476e-06,0.0019580861553549767,0.006424513179808855,0.003442609217017889,0.0020039905793964863,0.0016556860646232963,0.0016121109947562218,3581
0.12,5.0,5.4093848120828625e-06,0.0019701814744621515,0.006818221416324377,0.0033883394207805395,0.0020271961111575365,0.0016402738401666284,0.0015831755008548498,3581
0.1,25.0,5.3200383263174444e-06,0.0019869415555149317,0.007780391722917557,0.0038614124059677124,0.0020165976602584124,0.0015998253365978599,0.001561259850859642,3581
0.15,25.0,5.86885334996623e-06,0.0019973344169557095,0.003964903298765421,0.002553824335336685,0.002036485355347395,0.0016606970457360148,0.0016285731690004468,3581
0.12,15.0,5.503454303834587e-06,0.0020210950169712305,0.006281971000134945,0.0033992910757660866,0.002050971845164895,0.0016885502263903618,0.0016464346554130316,3581
0.15,5.0,6.455100447055884e-06,0.002218057867139578,0.004188413731753826,0.002678088378161192,0.0022152934689074755,0.0018203535582870245,0.0018018783302977681,3581
0.15,10.0,6.411018148355652e-06,0.0022239908576011658,0.004002954810857773,0.0025938553735613823,0.002203651936724782,0.0017875295598059893,0.0018024755408987403,3581
0.15,15.0,6.906097951286938e-06,0.002311701886355877,0.003934543114155531,0.002627525245770812,0.002286348957568407,0.0018518464639782906,0.0018508665962144732,3581
0.15,20.0,6.364206001308048e-06,0.0023422057274729013,0.00397424167022109,0.002559920772910118,0.0023226586636155844,0.0018477278063073754,0.0018538563745096326,3581
